date,pressconf,scheduled
3/18/1936,0,1
3/19/1936,0,1
5/25/1936,0,1
11/19/1936,0,1
11/20/1936,0,1
1/26/1937,0,1
3/15/1937,0,1
4/4/1937,0,1
5/5/1937,0,1
6/9/1937,0,1
9/12/1937,0,1
12/1/1937,0,1
3/1/1938,0,1
4/22/1938,0,1
4/29/1938,0,1
8/2/1938,0,1
9/21/1938,0,1
12/30/1938,0,1
3/7/1939,0,1
3/20/1939,0,1
4/19/1939,0,1
6/21/1939,0,1
9/18/1939,0,1
12/13/1939,0,1
3/20/1940,0,1
5/28/1940,0,1
9/27/1940,0,1
12/18/1940,0,1
3/17/1941,0,1
6/10/1941,0,1
9/27/1941,0,1
12/12/1941,0,1
2/28/1942,0,1
3/2/1942,0,1
5/8/1942,0,1
6/22/1942,0,1
8/3/1942,0,1
9/29/1942,0,1
12/14/1942,0,1
1/26/1943,0,1
3/2/1943,0,1
5/15/1943,0,1
6/28/1943,0,1
10/18/1943,0,1
2/29/1944,0,1
3/1/1944,0,1
5/4/1944,0,1
9/22/1944,0,1
12/11/1944,0,1
2/28/1945,0,1
3/1/1945,0,1
6/20/1945,0,1
10/17/1945,0,1
2/28/1946,0,1
3/1/1946,0,1
6/10/1946,0,1
10/3/1946,0,1
2/28/1947,0,1
3/1/1947,0,1
6/6/1947,0,1
10/7/1947,0,1
12/9/1947,0,1
2/27/1948,0,1
3/1/1948,0,1
5/20/1948,0,1
10/4/1948,0,1
11/15/1948,0,1
11/30/1948,0,1
2/28/1949,0,1
3/1/1949,0,1
5/3/1949,0,1
6/28/1949,0,1
8/5/1949,0,1
12/13/1949,0,1
2/28/1950,0,1
3/1/1950,0,1
6/14/1950,0,1
8/18/1950,0,1
9/28/1950,0,1
10/11/1950,0,1
10/30/1950,0,1
11/27/1950,0,1
1/31/1951,0,1
2/8/1951,0,1
3/2/1951,0,1
3/8/1951,0,1
5/17/1951,0,1
10/4/1951,0,1
11/14/1951,0,1
2/29/1952,0,1
3/1/1952,0,1
6/19/1952,0,1
9/25/1952,0,1
12/8/1952,0,1
3/5/1953,0,1
6/11/1953,0,1
9/24/1953,0,1
12/15/1953,0,1
3/3/1954,0,1
6/23/1954,0,1
9/22/1954,0,1
12/7/1954,0,1
1/11/1955,0,1
3/2/1955,0,1
5/10/1955,0,1
6/22/1955,0,1
7/12/1955,0,1
8/2/1955,0,1
8/23/1955,0,1
9/14/1955,0,1
9/26/1955,0,0
10/4/1955,0,1
10/25/1955,0,1
11/16/1955,0,1
11/30/1955,0,0
12/8/1955,0,0
12/13/1955,0,1
1/10/1956,0,1
1/24/1956,0,1
2/15/1956,0,1
3/6/1956,0,1
3/27/1956,0,1
4/17/1956,0,1
4/18/1956,0,1
5/9/1956,0,1
5/23/1956,0,1
6/5/1956,0,1
6/26/1956,0,1
7/17/1956,0,1
8/7/1956,0,1
8/21/1956,0,1
9/11/1956,0,1
9/25/1956,0,1
10/16/1956,0,1
11/13/1956,0,1
11/27/1956,0,1
12/10/1956,0,1
1/8/1957,0,1
1/28/1957,0,1
2/18/1957,0,1
3/5/1957,0,1
3/26/1957,0,1
4/16/1957,0,1
4/24/1957,0,0
5/7/1957,0,1
5/28/1957,0,1
6/18/1957,0,1
7/9/1957,0,1
7/30/1957,0,1
8/20/1957,0,1
9/10/1957,0,1
10/1/1957,0,1
10/22/1957,0,1
11/12/1957,0,1
12/3/1957,0,1
12/17/1957,0,1
1/7/1958,0,1
1/28/1958,0,1
2/11/1958,0,1
3/4/1958,0,1
3/25/1958,0,1
4/15/1958,0,1
5/6/1958,0,1
5/27/1958,0,1
6/17/1958,0,1
7/8/1958,0,1
7/15/1958,0,0
7/18/1958,0,0
7/21/1958,0,0
7/22/1958,0,0
7/23/1958,0,0
7/24/1958,0,0
7/25/1958,0,0
7/29/1958,0,1
7/30/1958,0,0
7/31/1958,0,0
8/1/1958,0,0
8/4/1958,0,0
8/19/1958,0,1
9/9/1958,0,1
9/30/1958,0,1
10/21/1958,0,1
11/10/1958,0,1
12/2/1958,0,1
12/16/1958,0,1
1/6/1959,0,1
1/27/1959,0,1
2/10/1959,0,1
3/3/1959,0,1
3/24/1959,0,1
4/14/1959,0,1
5/5/1959,0,1
5/26/1959,0,1
6/16/1959,0,1
7/7/1959,0,1
7/28/1959,0,1
8/18/1959,0,1
9/1/1959,0,1
9/22/1959,0,1
10/13/1959,0,1
11/4/1959,0,1
11/24/1959,0,1
12/15/1959,0,1
1/12/1960,0,1
1/26/1960,0,1
2/9/1960,0,1
3/1/1960,0,1
3/22/1960,0,1
4/12/1960,0,1
5/3/1960,0,1
5/24/1960,0,1
6/14/1960,0,1
7/6/1960,0,1
7/26/1960,0,1
8/16/1960,0,1
9/13/1960,0,1
10/4/1960,0,1
10/25/1960,0,1
11/22/1960,0,1
12/13/1960,0,1
1/10/1961,0,1
1/24/1961,0,1
2/7/1961,0,1
3/7/1961,0,1
3/28/1961,0,1
4/18/1961,0,1
5/9/1961,0,1
6/6/1961,0,1
6/20/1961,0,1
7/11/1961,0,1
8/1/1961,0,1
8/22/1961,0,1
9/12/1961,0,1
10/3/1961,0,1
10/24/1961,0,1
11/14/1961,0,1
12/5/1961,0,1
12/19/1961,0,1
1/9/1962,0,1
1/23/1962,0,1
2/13/1962,0,1
3/6/1962,0,1
3/27/1962,0,1
4/17/1962,0,1
5/8/1962,0,1
5/29/1962,0,1
6/19/1962,0,1
6/21/1962,0,0
7/10/1962,0,1
7/31/1962,0,1
8/21/1962,0,1
9/11/1962,0,1
10/2/1962,0,1
10/23/1962,0,1
11/13/1962,0,1
12/4/1962,0,1
12/18/1962,0,1
1/8/1963,0,1
1/29/1963,0,1
2/12/1963,0,1
3/5/1963,0,1
3/26/1963,0,1
4/16/1963,0,1
5/7/1963,0,1
5/28/1963,0,1
6/18/1963,0,1
7/9/1963,0,1
7/30/1963,0,1
8/20/1963,0,1
9/10/1963,0,1
10/1/1963,0,1
10/22/1963,0,1
11/12/1963,0,1
11/26/1963,0,0
12/3/1963,0,1
12/17/1963,0,1
1/7/1964,0,1
1/28/1964,0,1
2/11/1964,0,1
3/3/1964,0,1
3/24/1964,0,1
4/14/1964,0,1
5/5/1964,0,1
5/26/1964,0,1
